 TIME                    	Dry                      	Total                    	Horizontal               	
 HOURS              	Unit1               	Unit2               	Unit3               	
  +7.1875000000000000E+01	  -2.2249999999999996E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.2000000000000000E+01	  -2.2749999999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.2125000000000000E+01	  -2.3312499999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.2250000000000000E+01	  -2.3937499999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.2375000000000000E+01	  -2.4562499999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.2500000000000000E+01	  -2.5187499999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.2625000000000000E+01	  -2.5812499999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.2750000000000000E+01	  -2.6437499999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.2875000000000000E+01	  -2.7062499999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.3000000000000000E+01	  -2.7687499999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.3125000000000000E+01	  -2.8125000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.3250000000000000E+01	  -2.8374999999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.3375000000000000E+01	  -2.8624999999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.3500000000000000E+01	  -2.8874999999999997E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.3625000000000000E+01	  -2.9125000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.3750000000000000E+01	  -2.9375000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.3875000000000000E+01	  -2.9624999999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.4000000000000000E+01	  -2.9874999999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.4125000000000000E+01	  -3.0125000000000002E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.4250000000000000E+01	  -3.0375000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.4375000000000000E+01	  -3.0625000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.4500000000000000E+01	  -3.0874999999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.4625000000000000E+01	  -3.1125000000000003E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.4750000000000000E+01	  -3.1375000000000002E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.4875000000000000E+01	  -3.1625000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.5000000000000000E+01	  -3.1875000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.5125000000000000E+01	  -3.2125000000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.5250000000000000E+01	  -3.2375000000000003E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.5375000000000000E+01	  -3.2625000000000002E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.5500000000000000E+01	  -3.2875000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.5625000000000000E+01	  -3.3125000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.5750000000000000E+01	  -3.3374999999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.5875000000000000E+01	  -3.3624999999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.6000000000000000E+01	  -3.3874999999999997E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.6125000000000000E+01	  -3.4187499999999997E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.6250000000000000E+01	  -3.4562499999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.6375000000000000E+01	  -3.4937499999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.6500000000000000E+01	  -3.5312500000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.6625000000000000E+01	  -3.5687500000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.6750000000000000E+01	  -3.6062500000000002E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.6875000000000000E+01	  -3.6437500000000003E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.7000000000000000E+01	  -3.6812500000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.7125000000000000E+01	  -3.7187500000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.7250000000000000E+01	  -3.7562500000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.7375000000000000E+01	  -3.7937500000000002E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.7500000000000000E+01	  -3.8312500000000003E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.7625000000000000E+01	  -3.8687499999999999E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.7750000000000000E+01	  -3.9062500000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.7875000000000000E+01	  -3.9437500000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.8000000000000000E+01	  -3.9812500000000002E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.8125000000000000E+01	  -4.0187499999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.8250000000000000E+01	  -4.0562500000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.8375000000000000E+01	  -4.0937500000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.8500000000000000E+01	  -4.1312499999999996E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.8625000000000000E+01	  -4.1687500000000002E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.8750000000000000E+01	  -4.2062499999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.8875000000000000E+01	  -4.2437499999999995E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.9000000000000000E+01	  -4.2812500000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.9125000000000000E+01	  -4.2749999999999995E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.9250000000000000E+01	  -4.2249999999999996E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.9375000000000000E+01	  -4.1749999999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.9500000000000000E+01	  -4.1250000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.9625000000000000E+01	  -4.0750000000000002E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.9750000000000000E+01	  -4.0249999999999995E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.9875000000000000E+01	  -3.9750000000000001E+00	  +2.0588636325488623E+00	  +0.0000000000000000E+00	
  +8.0000000000000000E+01	  -3.9249999999999998E+00	  +2.6741136367451141E+01	  +0.0000000000000000E+00	
  +8.0125000000000000E+01	  -3.8750000000000000E+00	  +4.8534896022128578E+01	  +3.8314705132675528E+00	
  +8.0250000000000000E+01	  -3.8249999999999997E+00	  +7.3868725295657228E+01	  +5.8499702813753505E+00	
  +8.0375000000000000E+01	  -3.7749999999999999E+00	  +9.8663223244089878E+01	  +7.9408951086642112E+00	
